"","authorID","groupID","match_name","matchID","similarity","confidence","flagged","AU","AF","author_order","address","RP_address","RI","OI","EM","refID","TA","SO","UT","PT","PU","PY","university","country","state","postal_code","city","department"
"1",1,6216,NA,6216,NA,NA,0,"Abd Rahman, K","Abd Rahman, Kassim",61,"Forest Res Inst Malaysia, Selangor Darul Ehsan, Malaysia.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","forest res inst malaysia","malaysia",NA,NA,"selangor darul ehsan","forest res inst malaysia"
"2",2,2390,NA,2390,NA,NA,0,"Abu Salim, K","Abu Salim, Kamariah",4,"Univ Brunei Darussalam, Fac Sci, Bandar Seri Begawan, Brunei.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","univ brunei darussalam","brunei","bandar seri begawan",NA,"fac sci",NA
"3",3,3,NA,NA,NA,NA,0,"Allen, D","Allen, David",5,"Middlebury Coll, Dept Biol, Middlebury, VT USA.",NA,NA,"0000-0002-0712-9603",NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","middlebury coll","usa","vt",NA,"middlebury",NA
"4",4,4,NA,NA,NA,NA,0,"Alvarez, M","Alvarez, Mauricio",6,"Inst Invest Recursos Biol Alexander von Humboldt, Bogota, Colombia.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","inst invest recursos biol alexander von humboldt","colombia",NA,NA,"bogota","inst invest recursos biol alexander von humboldt"
"5",5,4273,NA,2066,NA,NA,0,"Bourg, N","Bourg, Norman",7,"Smithsonian Conservat Biol Inst, Front Royal, VA USA.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","smithsonian conservat biol inst","usa","va",NA,"front royal",NA
"6",6,6547,"Brockelman, W. Y.",6547,0.941176470588235,6,0,"Brockelman, WY","Brockelman, Warren Y.",8,"Natl Ctr Genet Engn & Biotechnol, Klongluang, Pathum Thani, Thailand.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","natl ctr genet engn & biotechnol","thailand","pathum thani",NA,"klongluang",NA
"7",7,4371,NA,2264,NA,NA,0,"Bunyavejchewin, S","Bunyavejchewin, Sarayudh",9,"Dept Natl Pk Wildlife & Plant Conservat, Res Off, Bangkok, Thailand.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","dept natl pk wildlife & plant conservat","thailand","bangkok",NA,"res off",NA
"8",8,6801,"Butt, Nathalie",6801,1,2,0,"Butt, N","Butt, Nathalie",10,"Univ Queensland, Ctr Excellence Environm Decis, Australlan Res Council, St Lucia, Qld, Australia.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","univ queensland","australia","qld",NA,"st lucia","ctr excellence environm decis"
"9",9,1018,NA,1018,NA,NA,0,"Cao, M","Cao, Min",11,"Chinese Acad Sci, Key Lab Trop Forest Ecol, Xishuangbanna Trop Bot Garden, Kunming, Yunnan, Peoples R China.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","chinese acad sci","peoples r china","yunnan",NA,"kunming","key lab trop forest ecol"
"10",10,10,NA,NA,NA,NA,0,"Chanthorn, W","Chanthorn, Wirong",12,"Kasetsart Univ, Fac Environm, Dept Environm Technol & Management, Bangkok, Thailand.",NA,NA,NA,NA,1,"Patterns of nitrogen-fixing tree abundance in forests across Asia and
America","JOURNAL OF ECOLOGY","WOS:000491025800008","J",NA,"2019","kasetsart univ","thailand","bangkok",NA,"dept environm technol & management","fac environm"
